Metin,Durum
Kablosunu cikarinca çalışmıyor, iade ettim,
Renk beyaZ geldi , ekran çok küçük , göz yorucu ..,
Çok dandik,
ekranı sıkıntılı,
beğenmedim.,
beklediğimden kötü,
400 oyun yok,
tam bi fiyasko,
gereksiz bir şey,
çok basit bir ürün.,
Güzel eğlenceli,
gereksiz bir konsol,
ÇOK ÇABUK BOZULDU,
Çok beğendim tam istediğim gibi,
Harika bir ürün. Kalitesiz diyenler PS4 alabilir.,
Kaliteli tavsiye ediyorum şık.,
Kaliteli ve iyi bir gameboy tavsiye ederim,
Eğlenceli,
Pilleri bitik geldi. Kullanamadık ??,
açma kapama tuşu kırılıyor,
Ürün 1 ay içinde bozuldu anlamadım??,
Ürünün kalitesini beğenmedim,
Aşırı dandik, tavsiye etmem.,
beklediğimiz gibi olmadı .,
Daha alalı 1 ay olmadı şarj olmuyor,
beklediğimden çok daha küçük ve dandik,
cok kötü bozuk bide üstelik,
Kırmızı istedik,siyah geldi??,
Urun 2 kullanımda ekranı karardı hic güzel degil,
Çok çabuk bozuldu şarj yerini çok basit yapmışlar,
Aşırı kalitesiz bir ürün.,
Ekranı cok küçük kullanışsız hoşuma gitmedi,
Çok kötü hemen bozuldu,
Çok küçük kırmızı seçtim siyah geldi,
2 dakika sonra ekranı kararıyor ve kapanıyor,
Tek renk beyaz geliyor,
beğenmedim kalitesi epey düşüktü,
Hiç göründüğü gibi büyük değil,
Çok kalitesiz verdiğim paraya çooook yazık,
Ürün bildiğiniz plastik hiç gözüktüğü gibi değil,
Gereksiz Bi alet.,
Baya kalitesi kötü,
Çok kötü ??,
Memnun kalmadım,
kalitisiz almayin ??,
Çok basit değmez,
Fena değil..,
İdare eder,
Çok hızlı geldi gayet güzel,
Coook begendiiimmm bu paraya bu kalite harika,
hiçbir işe yarmiyor,
Çok güzel eğlenceli,
oğlum çok sevdi..,
İade ettim,
GÜzel shshsb,
Çok kalitesiz,
Sıfır kalite,
Geldiği gün bozuldu,
Çok dandik almayın,
bosa para harcamayın,
begenmedim acıkcası,
Ekranı aynısı değil kötü,
Görüntü kalitesi ??,
kötüü kalitesiz,
Daha kaliteli olabilirdi fakat tam nostalji??????,
Çok basit :),
Rezalet...,
2.günü bozuldu,
Rengi Sari geldi,
Uyduruk çok basit,
Hemen bozuldu,
çok basit kalitesiz duruyor beklentiniz yüksek olmasin.,
Biraz kalitesiz ama yine de beğendim,
guzel eglenceli,
Ekranı çok büyük ve kaliteli değil göz yoruyor ama çocuklar için fena sayılmayan bir ürün,
Ürün bekledigim şekilde ve hızlı geldi. Içinde 400 tane oyun var ve kalitesi çok iyi. Zaman geçirmek isteyenler için önerebilirim :),
Evde kalınan sürede çok iyi vakit geçirilir :) kesinlikle alın pişman olmazsınız ve özellikle de bu fiyata düşmüşken ????????,
35 yaşında aniden 9 10 yasa döndüm. süper bir oyun. evet çok aman aman kalite beklemeyin ama zaten eskidende bu kalite ekran vardi. en azından radyasyon yaymadan çocuklar oyun oynar diye aldım elimden düşüremedim ki çocuklara fırsat kalsin ??,
Bende bu rengi aldım oglum küçük oynayamiyo ama ben bayıldım eski oyunlar hep var o yüzden kaldırdım eminim oglum da anlayınca bayilacaktir??,
yeniden çocukluğumu yasiyorum resmen agir degil hafif renk kalitesi cok.guzel elimizden düşmüyor artik,
Ürünün hem fiyatı uygun hemde çok güzel bir çok oyun var ilgilenenlere tavsiye ederim,
Göründüğü gibi kaliteli ürün degil,
Kargom 2 günde elime ulaştı. Paketleme çok güzel teşekkürler. Ürün düşündüğüm gibi tam nostaljik 90larda hissettim kendimi. Görüntü kalitesini çok büyük bişey beklemeyin. Beğendim,
Ürün gercekten her evin ihtiyacı gibi oldu elden ele dolaşıyo indirimdeyken aldım keşke ailedeki insan sayısı kadar alabılseydım kalitede on numara cok memnun kaldıgımız bi alısverıstı??,
Cok guzel bir ürün cocuklarımı telefon dan televizyon dan uzak tutacak sacma sapan oyunları olmayan bir ürün ben herkese tavsiye ediyorum ama size tavsiyem her satıcıdan almayın ben ider aldıklarımı iade ettim,
Malzeme kalitesini boş verin, sizi gençliğinize veya çocukluğunuza götürüyor. Sadece şarj girişini fazla zorlamayın. Onun haricinde çok güzel...,
SÜPERRRRRR HARİKAAAAAAA ÇOCUKLUĞUMAA DÖNDÜM NOT : 400 DEĞİL 500 OYUN VAR ?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,
18 yaşına basan erkek kardeşime hediye olarak almıştım. İyi ki de almışım çok memnun kaldı ve sürekli oynuyor. Boyutu filan küçük diye sürekli yazan olmuş ama bence bu şekilde olması daha güzel olmuş.,
Şu dönemde çok hızlı kargo. Gelecek ürünün detayını bildiğimiz için şaşırtmadı güzel ürün ??çoğu yerde farklı renkte geliyor ürün. Kırmızı istedik kırmızı geldi ?? teşekkürler,
istediğim renk gelmemiş ama oyunlar güzel iyi vakit geçirebilecek bir ürün cocuklugumuzda oynadığımız oyunlar,
Arkadaşlar ürün çok güzel bize 500 tane oyunlu geldi biz 3 tane aldık Ben çok beğendim zaten biz öyle canımız sıkılınca oynarız diye aldık cepten çıkarmalık boyutu küçük ama çok eğlenceli bende yorumları okuduğumda tereddüt ettim ama bir sıkıntı çıkmadı çok şükür,
Ürün denildiği üzere çok nostaljik ve insanı Geçmişe gönderiyor. Eski Oyunların teknolojiyle birleşmesi harika olmuş.,
Hem çok eğlenceli hem de vakit geçirmek için güzel bir ürün. İçerisindeki bazı oyunlardan 3-4 tane var o yüzden tam 400 oyun yok ama yine de alınması gereken can sıkıntısını gideren güzel bir oyuncak.,
Ben ürünü cumartesi gecesi sipariş ettim pazar günününü saymazsak 2 günde geldi ürün elime salı günü geçti ürün biraz hafif bu yüzden kalitesiz gibi duruyo ama fiyatına göre çok iyi güvenerek alabilirsiniz teşekkürler TRENDYOL??,
Cocuklarıma aldım beni eskiye götürdü harika, ama içerisinde söylendiği gibi 400 oyun yok aynı oyunu Bi kac kere kopyalamışlar ama bu tip el oyunları icin ideal,
ürün eskiyi çok güzel biçimde hatırlatıyor, tavsiye edilir,
Ürün gerçekten harika oğlum bayıldı kargo çok hızlıydı şimdiden aile de favori oldu diyebilirim,
Telefondan daha güzel çocuklar için. Ben beğendim..,
Ben çok eğleniyorum gayet kalitesi fiyatına göre iyi,
Beklediğimden çok daha iyi geldi sesi görüntüsü iyi,
çok geç geldi ama güzel 90ların bütün oyunları var içinde çocuklardan kaçırdıkça bende oynuyorum ??,
Tam bir nostalji yolculuğu oldu bizim için de oğluma aldım ama ben daha çok sevdim ??,
Böyle harika bir ürün olmaz resmen küçüklüğüme döndüm,
aşırııııı güzel bayıldım resmen, cocukluğuma döndüm, oyunlar cok iyi, tavsiye ederim, kargo hızlı ????,
Hem çok kaliteli hem de kargo çok hızlı güvenerek alabilirsiniz ??,
3Gunde geldi.Nostalajik urun ama biraz kucuk geldi,
Arkadaşlar TV ye baglayacaksanız alın , ancak normal ekrandan oynamanız çok zararlı ekran parlak ve gözü çok aşırı derecede yoruyor , bozabilir. Ama kargo teslim süreci çok iyiydi , ürün anlatıldığı gibi içinde çocukluğumuzda ait tüm oyunlar var . Çok duygulandım.,
ürün çok güzel ve nostaljik çok beğendim ama fiyatı biraz pahalı,
Ürün gayet güzel geldiği gibi denedim ve beni çocukluğuma götürdü resmen nostalji yaşamak isteyenlere tavsiyemdir tek sorun kırmızı istemem ama siyah gelmesi birde ingilizce ve arapça dil desteği olması sadece,
çok memnun kaldık oğlum çok sevdi eşim oğlumdan daha çok sevdi ??,
çocukluğumu bu konsol ile tekrar yaşıyorum tavsiye ederim süper bisey,
Güzel ve kullanışlı bir ürün özellikle çocuklar için bire bir????,
çok memnun kaldık oğlum çok sevdi eşim oğlumdan daha çok sevdi ??,
oğluma aldım gayet güzel ben bile oynuyorum tavsiye ederim çocuk için güzel ellenceli,
kırmızı sipariş ettim ama siyah geldi fakat ürün baya iyi teşekkürler,
Güzel paketleme resimdeki ürün geldi harika,
ürün güzel şarjı da normal tlfn şarjlaryla uyumlu. sadece işlevi bnce çok hızlı değl yani tlfndan oynamak gbi değl. tabii ama çocuklar için muhteşem en azından sürekli tlfnumuzdan oynayıp tlfnu yıpratmaktansa böyle birşey dha iyi oldu. ayrıca aynı anda sipariş verdğm ürünler 1 hafta geçti dha kargoya bile çıkmayan varken. bu ürün çok çabuk elime ulaştı????,
Ürünü eşime hediye aldım. Öyle mutlu oldu ki. Tam bir nostalji oyun konsolu.,
kırmızı rengini sipariş verdim siyah geldi ve kargoya aynı gün veriyoruz dediler benimkini 2 günde verdiler 10 günde elime ulaştı yinede oğlum beğendi oynuyor teşekkür ederim,
Eğlenmek için bire bir, içinde çok iyi oyunlar var.,
fiyatı da kendiside güzel,
Çok kullanışlı eğlenceli zevkli oyuncak,
bayıldık çok güzel çok kullanışlı ??,
Çocukluğuma döndüm çok güzel,
inanılmaz eğlenceli cok güzel.,
Oğlum için aldım kendim oynuyorum ??,
Bence çok güzel ben beğendim ??,
super bence dusunmeden siparis verin derim,
Çok güzel oğlum begendim,
Muhteşem 500 oyunlu ses güzel,
göründüğünden daha küçükmüş.ekrani çok küçük sarji çabuk bitiyor.kabloları da çok kısa.çocuklari tabletten biraz da olsa uzaklaştırmak için ideal ama oyunların çoğu açılmıyor aktif değil televizyona bağlama kablosunu takınca ekran kararıyor açılmıyor bu arızadan dolayı iade ettim,
hemen bozulacak tarzda 400 tane oyun var ama hepsi aynı sayılır ekranın ışığı plastiğin arkasından görünüyor şarj olurken ses çıkarıyor fotograftaki renkler daha canlı ama gelende öyle değil,
Nostalji yaşatan bir ürün. Biraz hafif ve uzun ömürlü değil gibi duruyor ama şimdilik sorun yok,
çok hızlı kargo güzel ürün teşekkürler cep tel onlıne,
Çocukluğumda oynadığım tüm oyunlar var almaya değer bir ürün oğluma vermeden önce doyasıya oynadım:),
Fiyatina göre muhte?em bir ürün ...Oğlum icin aldım.ve tabletten birazda olsa uzakla?masını sağladim.,
ürün gerçekten gayet güzel çok fazla oyun var kalitesi de iyi paketlemesi de çok beğendim gerçekten,
Gayet iyi gibi görünüyor inşallah çocuklar sabırsızlıkla bekledi ama önce ders ve ödevler ????,
tıpkı çocukluğumdaki gibi,
harika göründüğü gibi oyun elimden bırakamıyorum,
hızlı gönderi için teşekkür ederim,
ıade konusunda sıkıntı yaşamadım teşekkürler,
Çok güzel..Tavsiye ediyorum herkese.. ????,
Çok hızlı gönderim teşekkürler,
Eşime hediye olarak aldım çok beğendi.,
harika bir ürün. vakit geçirmek icin ideal,
çok guzel çok memnun kaldım,
Eşim için aldım bayıldı ??,
Enise Hanım iyiki tavsiye ettiniz ürüne bayıldık,
çok beğendim çocukluğuma döndüm resmen,
güzel bir ürüne benziyor,
çok basit heran bozulacak gibi ama bizim neslimizin çocuk oyunları çok hoş ama bu fiyat çok fazla,
ekstra kol bulunuyor sanıyordum olmaması kötü oldu onun dışında iyi,
urun cok guzel ama ekran renkleri hic parlak degil,
Tam beklediğimiz gibi eglenceli,
Çok güzelmiş,
Çocukluguma dondum.,
Ürün gayet güzel,
Ürün elime çok gec ulaştı ama güxel türkçe değil 500 oyun var ve garantısınde 2014 yazıyodu sasırdım ama iyidinede cocukların eline verip oyalanabilicek bişey normal kalıtede,
görüntü kalitesi iyi olmasa bile çocukların bayıldığı bir ürün..,
Gayet güzel geldi boyutu biraz küçük ama yeterli,
Plastiği kalitesiz ama içerik olarak tatmin edici.,
Fiyat olarak uygun ve göründüğü gibi bir ürün.,
Eğlenceli ve kaliteli,
gayet güzel teslimat hızlı teşekkürler,
Harika bir ürün,
Harika bir ürün,
kaliteli ürün,
Çok begendim,
çok beğendim ??????????,
aslında ürünün bir sıkıntısı yok fakat beklediğim heyecanı hissedemedim heveslenip alıyorsanız benim fikrim almayın,
Çok kötü 1 gün kullandım şarja taktım şarj yeri içine kaçmış şarjı boşluğa takiosun ekran görüntüsü bi anda gitti ses var görüntü yok kesinlikle tavsiye etmiorm başka yerden alin,
Eşime jest olsun diye aldım, pişman oldum. Görüntü kalitesini çok iyi beklemiyordum lakin, vasatın da çok altında.,
Çok küçük ve güzel değil o kadar .Kaliteli malzemeden yapılmamış .Kolay kırılabilir,
oldukca guzel eglenceli,
ekranin rengi biraz kısık gibi ama fena degil,
Güzel bir ürün,
güzel ürün,
Ürün sadece 5 dk çalıştı ve sonrasında ekranı beyaz olarak kaldı çok kalitesiz,
ürün güzel ama 20 dakikada bitiyor şarj bataryası mı bozuk anlamadım gitti çözüm bulursanız iyi olur,
Geldiği gün bozulan bi gameboy ses var görüntü yok sakın almayın,
Türkçe menü olmadı için sıkıntı,
beklediğim gibi değil..çok minik ve kullanışsız,
Tuşları zor çalışıyordu,
Ucuz malzeme. Fiyatına değmez.,
Ürünü aldım bozuk firmaya geri yolladım değişim yada iade yapmadılar bozuk ürünü tekrar bana yolladılar hiç memnun değilim bidaha bu firmadan alışveriş yapamıycam,
sarji cabuk bitiyor ama eski günlere dönmenizi sagliyor,
Elimizden düşmüyor harika,
?????? maalesef almayin,
Eşime hediye aldım. Çok sevindi elinden düşürmüyor (yaş 25??),
Nostaljik bir ürün, sadece Mario oyunu için bile alınabilir.,
Eski günlere özlem duyarak aldım çok güzel ve kaliteli,
kaliteli bir ürün,
Çocukluğunuza geri dönmek ıstıyorsanız alın,
Bir sürü oyun var. Ama favorim mario??,
Orjinalini gibi çok güzel,
Bayıldım nostalji severlere????,
Cok nostaljik almalısınız kesinlikle,
bayıldık biz,
Çok eğlenceliii????????,
"Çok eğlenceli çocuklar kadar büyüklerin de dikkatini çeken bir oyun konsolu;) fiyatı da çok cazip;)",
Ben daha pahalıya almıştım güzel bir ürün çocukken oynadığım oyunlar var şuan fiyatı çok iyi alın derim,
göründüğünden küçük ve tabi ki hd görüntülere alıştığımız için görüntüsü çok tuhaf geliyor. Her haliyle eskilere götürüyor sizi iyi ki almışım,
Çok küçük fakat çok güzel. Kardeşime aldık oyunları çok güzel,
ürün biraz küçük ama çok güzel ve eğlenceli. 400 tane oyun var gerçekten,
Malzeme kalitesi fena değil. İçerisinde bir çok atari oyunu mevcut. Beklentinizi çok yüksek tutmayın. Ayrıca ürün biraz küçük.,
iade etmek zorunda kaldim.ama.ugur bey cok ilgiliydi madur etmedi beni tesekkur ederim,
Görüntü aynı ekran görüntüsü gidip geliyor çocuklar için ideal beklenti büyük olmamalı fiyatına göre makul ürün..,
oynamaya doyamıyoruz şahane hem fiyatı da uygun şuanda şarz kablosu batarya bağlantı kablosu yanında geliyor biz memnun kaldık,
fiyatı uygun ve cok eğlenceli bir ürün teşekkürler ??,
ürün elime ulaştı fiyatına göre güzel bir ürün TV'ye bağladım ama görüntü net değildi onun haricinde güzel bir ürün,
Beklediğimden küçük geldi, görüntü çok net değil, fiyatına göre de kaliteli sayılmaz üzülerek iade ediyorum.Düzeltme: göz alışınca gayet eglenceli iade etmedim,
ilk alinca bozulur gibi oldu ama sonra duzeldi suan hic bir sikinti yok ayrica cok nostaljik ve eglenceli,
çocukluk hevesi yüzünden aldım bir tık daha büyük olsaydı daha iyi olurdu ama genede iş görür hızlı kargo ile gönderim indirimli dönemde alınır paketleme iyi,
Firma çok ilgiliydi. Çocuklarim oyuncaklarını çok begendiler. Kargo paketleme çok guzel yapilmisti çok tesekkur ederim,
Tetris gibi bir oyun. görüntü kalitesini çok iyi beklemeyin. 400 değilde 100 adet oyun var. Ama aynı oyunları 400 e tamamlamislar. Bence yetişkinlere göre değil de çocuklara hitap ediyor.,
küçük kardeşlerime aldım çok beğendiler. yablet telefondan biraz daha uzaklassjnlar diye almıştım faydası oldu,
Keşke sesini kapatablseydik ya güzel ama o biraz can sıkıyo,
Gelen ürün asla resimde göründüğü gibi değil. Küçük ve kalitesiz. Ses ve görüntü kalitesi çok kötü. Ayrıca içinde süper mario var diye aldım ama yoktu.,
Efsane ürün yeğenime aldım çok beğendi artık bizden telefon istemiyor sırf o yüzden almıştım zaten göründüğü gibi de geliyor çocuklar İÇİN çok güzel bir ürün ara sıra bende oynuyorum ??,
5 yaşındaki oğlum için aldık ama eşimle kavga ediyoruz resmen oynamak için çocuğuma fırsat kalmıyor harika birşeyyy,
4 yaşındaki oğlum severek oynuyor, oyun çeşitliliği bol ve minik olduğu için çocuklar rahatça tutabiliyor,
ürün çok kaliteli hem de fiyatı da uygun görüntü kalitesi birazcık kötü ama eskilere benzetilmiş bir şey almanızı tavsiye ederim ve oynamaya doyamıyorum,
hemen geldi,açtığımda şarjı vardı biraz kullandık oldukça zevkli,ekran hd değil ama rahatsız etmedi beni çocukluğumuzun bütün oyunları var nerdeyse,oğlum bayıldı :D içinden şarj kablosu ve tv ye bağlama kablosu çıktı garantiyle ilgili bi belge çıkmadı ama. teşekkürler,
İçinde gerçekten söylendiği kadar oyun var. Sadece mario için aldım ama tuşları biraz sert alışmak gerekiyor.,
şarji cabuk bitiyor icinde cok oyun var evet ama hrpsi birbiriyle ayni neredeyse. tuslari cok karisik.,
Ürün fiyat performans olarak iyi.Beklentimizi karsiladi diyebilirim ve urunu paketleyen gorevli kargoyu dört gözle bekleyen yaramazlar hayal kırıklığına uğramasın diye düşünmüş olacak ki oldukça sağlam paketlemis ve patpata sarılı olarak göndermiş cok teşekkür ediyoruz bu sebeple 5 yıldız :),
bozuk ürün geldi ekran açıldı geri gitti sabaha kadar şarj etmemize rağmen açılmadı geri iade edeceğim,
Şarj edilebilmesi, internete ihtiyaç duymaması, çocukluğumda oynadığım oyunların olması şahane. Oğlum çok sevdi.,
Güzel bir ürün kırımızısını hediye almıştım çok beğendiğim için kendime de aldım eğlenceli ve bir sürü oyun var,
ürün çok kaliteli hem de fiyatı da uygun görüntü kalitesi birazcık kötü ama eskilere benzetilmiş bir şey almanızı tavsiye ederim ve oynamaya doyamıyorum,
Çocukluk günlerime döndüm. Ataride bayılarak oynadığım oyunların hepsi var. Nostalji isteyenler hiç düşünmeden alabilirsiniz,
Esime ve yigenime hediye aldim . Mavi ve kirmizi 2 renk de cok iyi . Geldiginden beri elimizden dusmedi.kargo sureci de kisa surdu,
Çok kaliteli değil biraz zor oynanıyor tuşlarından ötürü ama zaman geçmesi açısından sevdim içinde bir sürü oyun var. Aynı zamanda çocukluğuma döndüm. Bu fiyata gayet güzel sadece beklentiniz çok yüksek olmasın,
Kullanışlı ama tahmin ettiğim kalitede değil,ekranı çok küçük.Fiyatıyla kıyasla fazla pahalı.,
Bence çok başarılı ve renkli ekran çocukları tablet ve telefondan uzaklaştırmak adına güzel bir icat, çocukluğumda böyle çok oyun seçeneği ve renkli olmasa da atarim vardı bu geçmişi andırıyor çok cici bir sürü oyun var????,
Aldığımda daha pahalıydı ve fiyatın düştüğünü görmek üzdü ??birkaç oyun hariç çok sarmıyor. Kablosu da çok kısa. TV ye bağlamak için kablo yaptırıp bir bu kadar daha para verdim. En azından kabloyu biraz uzun koyabilirlerdi. 3 yıldız ???????,
Simdilik cok guzel umarim kolay bozulmaz, tv de kullanma icin aparati da yaninda gönderilmis tesekkürlerr,
Mario için aldım sadece onu oynuyorum :) aslında 400 oyun var heves edip aldım bence güzel çocuklar içinde güzel bir alet hem de sakıncasız,
Gerçekten 400 tane oyun var inanmayıp almıştım :) ekran çözünürlüğü iyi değil yani bi telefon kadar net görüntü ve ses olmasını beklemeyin. Ama iş görüyor eğlenceli oluyor. Ama şarjı çabuk bitiyor gibi geldi bana. Ekran kararıyor şarjı azalınca. Bu açıdan beğenmedim. Ama genel olarak güzel.,
şimdilik harika görünüyo daha 5 dk oldu elime geceli ama bi sorunla karşılaşmadım. satıcıya hızlı gönderim için çok teşekkür ederim.,
3 yaşında oğluma aldım tam tutup rahatça oynayabileceği boyutta güzel hoşuna gitti keşfetmeye çalışıyo hele de pandemi döneminde güzel oyalamak için,
Çook güzel çok beğendik yorumlardaki gibi küçük de değil ideal bence çocuk için ve ekran kalitesi de gayet iyi.tv ye de bağladık oynadık kızımla,almak isteyenler hiç düşünmeden alabilir,
İlginiz ve kaliteli ürün gönderiminiz için teşekkürler. Ürün 1 günde elime ulaştı. Herşeyi eksiksiz. Güvenle alışveriş yapabilirsiniz.,
oglum begenerek severek oynuyo biraz telefondan da uzak tutuyo oyunlar belli en azindan reklam ciktimi oyun kotumu derdi yok,
çok güzel çok eğlenceli ayrıca televizyona bağlayınca görüntü kalitesi çok güzel net..kısa sürede elimize ulaştı..,
ürün dün geldi 3 yaşında ki oğlum için almıştım çok beğendi elinden düşürmüyor ayrıca hediye paketi yapılmış olması çok hoşuna gitti.,
Nostalji olarak mükemmel ötesi bir ürün. 29 yaşında biri olarak çocukluğuma geri döndüm ve yeğenlerimde benimle aynı hisleri yaşaması için ürünü satın aldım . Tek sıkıntısı ekranı belirli bir sureden sonra göz yoruyor .,
Ürün çok güzel ben aşırı sevdim ve mutlu oldum. Ayrıca hızlı kargo ve sağlam paketleme için teşekkürler.,
hizli teslimat paketleme cok guzel oglum için almistim simdi sirayla oynuyoruz resmen cocukluguma geri döndüm ??,
Yiyenime hediye olarak almıştım gayet güzel içerinide bir çok oyun var alınması gereken biriey bence her evde olmalı eski gümlerdeki tetrisler gibi,
Oldukça güzel bir ürün , bir gameboy beklemeyin ancak hoş bir nostalji yaşattı keyifle elime alıyorum,
çok kaliteli malzeme beklemeyin ama tam bir nostalji çocukluğa doğru yolculuğa çıkmış gibi oldum. maria da gizli mantarları bile unutmamışım ?? 6 yaşındaki oğluma aldım 1 kere oynadı okadar. ama kendim oynuyorum ve iyiki almışım bozulmasza çok daha memnun olurum. bu arada ses kısma yok gibi yorumlar görmüştüm. ama sol yanda ses açma kapama düğmesi var göremediler herhalde.var yani korkmayın ??,
Bayıldım bayıldım bayıldım harika resmen nostalji yaşıyorum 500 oyun var ekran aynı atari ekranı gibi fiyatı indirimde olduğu için çok iyi ama indirimsizken almayı düşünmezdim.,
Fiyat performans olarak iyi. 400 oyun yazıyor fakat 400 farklı oyun değil aynı oyunlar birkaç tane var. Ama ben memnunum aylardır kullanıyorum ve hiçbir sorun yok,
Ürün ilk başta çok basit gibi görünse de içindeki 400 oyunla gerçekten şaşırttı bizi kullanimi çok güzel sesi ayarlanabilir yanda dugmsi var tskler,
Ürün geçmişe götürdü anılarım canlandı , aşırı hafif, mario için almıştım ama içinde 400tane oyun var klasik oyunları seven kaçırmasın.,
Çok çok memnun kaldık. Tam bir nostalji parçası gerçekten. Şarj edilerek çalışıyor. Şarjı iyi dayanıyor,
Tam istediğimiz renk gönderilmişti. Paketleme süperdi. Kargoda kırılma falan olmasın diye pat pata sarılmıştı. Oğlumun doğum gününde gelmesi de sürpriz oldu,
Bayıldım bayıldım bayıldım harika resmen nostalji yaşıyorum 500 oyun var ekran aynı atari ekranı gibi fiyatı indirimde olduğu için çok iyi ama indirimsizken almayı düşünmezdim.,
Oğlum için aldım ama bizimde elimizden düşmüyor 90 lı yıllara götürdü bizi yeniden çok güzel tavsiye ediyorum,
oglumun elinden dusmedi gun boyu. guzel sevimli. cocuklari sevindirmek guzel. bir tane daha siparis vericegim. sup sayesinde bir cocuk daha sevinecek. tesekkurler trendyol. gonderim hizli oldu.,
Ürün geçmişe götürdü anılarım canlandı , aşırı hafif, mario için almıştım ama içinde 400tane oyun var klasik oyunları seven kaçırmasın.,
Açıklamada anlatıldığı gibi çok güzel, Marino’yu görmek beni eski günlere götürdü, eski Nokia telefonunun aynısı bataryası var, pilli olmaması da güzel gerçekten. Oğluma aldım. Bayıldı.,
Ürünü oğluma almıştım yiğenim de çok beğenince hediye olarak yolladım. Yeni neslin daha iyi alternatifleri de var tabi ama özellikle dışarıda oyalanmaları için güzel bir ürün,
Çok güzel hediye olarak aldım çok beğenildiii.Tavsiye ediyorum kesinlikle.Bence fiyatına görede gayet kaliteli.Yorumlar yüzünden kötü çıkar diye korkmuştum ama hiç öyle değil.,
Düğmelerinin hepsi çalışıyor, çok hızlı geldi, ses açma kapama düğmesi mevcut, super mario için almıştık ama diğer oyunlar da güzel. Sipariş verdiğim renk geldi. Pilinin telefon pili olması güzel, şarj aleti bulmak sıkıntı olmuyor.,
göründügü kadar kaliteli ve guzel degil idare eder ama bazen tuşlari işlemiyor yegenime almiştm umarm sveer ?????,
"Yeğenime aldım ; bayıldı; ondan fırsat buldukça bende oynuyorum:)",
çok eğlenceli çok güzel bir alet almanızı tavsiye ediyorum,
cok eglenceli bi oyuncak super bir suru oyun var tavsiye ederim,
yorumlara bakarak aldım memnun kalacağımı düşünüyorum,
tam nostaljik bir ürün. çocukluğumuzun tüm oyunları içinde.,
çocukluğum tekrar canlandı ?? nasıl mutlu oldum, fiyatı çok uygun ve muhteşem,
Müthiş bir hızla geldi can sıkıntısına birebir butun oynadigim oyunlar icinde. Ayrica tvye baglama kablosunada bayildim. Almak isteyip dusunenler tereddut etmeden alabilir,
5 yıldızı cidden hak eden bir ürün hem 400 oyunun tamamı var hemde çok rahat keyifli bir şekilde oynanıyor bu kadarını beklemiyordum,
Ürün güzel kargo hızlı ve paketleme harika kızım çok mutlu oldu çocukların elinden telefonu düşürmek için güzel bir oyun.,
icinde 400 oyun var deniliyor ancak cogu oyun iyi kalitede degil ama sadece mario oynamak icin bile tercih edilebilir. kargo suresi oldukca uzun surdu tek olumsuzluk bu diyebilirim. cok iyi kalite bisey beklemeyin cocuklarin eline telefon yerine verilebilecek nostaljik bir gamebox,
cok buyuk beklentiye girmeyin gorunn gibi net bi ekran yok ama cocukluk oyunlarimiz ozlemisiz biz cocuktan daha cok oynuyoruz,
Çocukluk zamanlarımdaki Ateri dönemine geri dönmek için aldım. Çokta memnun kaldım. Almamda Mario’ nun etkisi büyük ????,
Merhaba, ben 8 yaşındayım, annemin küçükken oynadığı oyunları şimdi ben oynuyorum, çok beğendim, ama şarjı biraz çabuk bitiyor sanki. İyi eğlenceler.,
Sizin gibi mükemmel bir satıcıdan alışveriş yaptığım için çok mutluyum güzel mesajınızla izmirde olan beni ihya ettiniz herşey mükemmeldi paketleme hız elinize emeğinize sağlık bol bereketli satışlarınız olsun,
Çok güzel paketleme satıcı süper anında kargo ladı ürün anlatıldğından daha ii şimdi kollu 2 tane daha alıcam başarılar,
Çok güzel bir oyun çoçukuguma eri döndüm bu oyunsayesinde yapanların eline saglık herkezi almasını tavsiye ederim,
Çocukları telefondan uzaklaştırmak icin güzel bir alternatif olarak düşünmüştüm ki sonra bi baktim benim elimden düşmüyor. Vakit geçirmek icin bu fiyata alinabilecek guzel bir ürün..,
Kesinlikle çok güzel bir ürün içerisinde gerçekten 400 adet oyun var ben sadece mario için almıştım oyunlar orjinal tavsiye ederim,
Kesinlikle çok güzel bir ürün içerisinde gerçekten 400 adet oyun var ben sadece mario için almıştım oyunlar orjinal tavsiye ederim,
Ürün harika! Özellikle tv ye bağlandığında cihazı kol gibi kullanabiliyosunuz. Mükemmel bir görüntü kalitesi yok ama zaten atariler de böyleydi. Biz çok beğendik kesinlikle alabilirsiniz.,
ürün beklentimizi karsiladi oglumu telefondan uzak tutuyo en azindan geldiginden beri hiç şarj etmedik daha. 5 gündür geldiği şarjla idare ediyoruz ??,
Çocukları telefondan uzaklaştırmak icin güzel bir alternatif olarak düşünmüştüm ki sonra bi baktim benim elimden düşmüyor. Vakit geçirmek icin bu fiyata alinabilecek guzel bir ürün..,
yiğenim çok sevdi.sonunda telefon dışında oyalanacağı bir şey oldu...,
400 oyun eski aterilerdeki oyunların hepsi var eğlenceli,
Boyutu küçük ama sizi yıllar önceye götürüyor:) Tavsiye ederim,
Çok güzel 90 lardan ne kadar oyun varsa severek oynadığımız hepsi bu kutunun içerisinde..,
tam da istediğimiz gibi...uygun fiyat keyifli oyunlar,
oğlum severek oynuyor Mario en sevdiğim çok başarıli,
